Dataset 0,,Dataset 1,,Dataset 2,
X,Y,X,Y,X,Y
45.011821100121466,89.91157522123895,67.64814332812772,94.15232743362833,79.05984296373417,95.87122123893806
46.13428335936145,89.79657522123894,68.71448247440568,94.10978761061948,80.18230522297414,95.84883185840708
47.16320709699809,89.77316814159292,69.57503687315634,94.08658407079646,81.30476748221412,95.85799115044249
48.19213083463474,89.86374336283187,70.64137601943432,94.09024778761062,82.4272297414541,95.8539203539823
49.03397752906473,89.86272566371682,71.7638382786743,94.07396460176992,83.54969200069408,95.84374336283186
49.59520865868471,89.7772389380531,72.88630053791428,94.07396460176992,84.67215425993406,95.87630973451328
50.062901266701374,89.706,74.00876279715426,94.10754867256638,85.79461651917404,95.85697345132743
50.53059387471802,89.62661946902655,75.13122505639424,94.06582300884956,86.91707877841402,95.87732743362832
51.278902047544676,89.55334513274337,76.25368731563421,94.01188495575222,88.03954103765399,95.86511504424779
52.02721022037133,89.53095575221239,77.37614957487419,93.98949557522124,89.16200329689397,95.87122123893806
52.962595436404655,89.62356637168142,78.21799626930418,94.00476106194691,90.28446555613395,95.86409734513275
52.86905691480132,89.69378761061948,79.05984296373417,94.08414159292036,91.40692781537393,95.87325663716815
53.52382656602464,89.52586725663717,80.18230522297414,94.02715044247788,92.52939007461391,95.84476106194691
53.71090360923131,89.44038053097346,81.30476748221412,93.96303539823009,93.6518523338539,95.84374336283186
54.298860030737956,89.35009608091025,82.4272297414541,93.95591150442479,94.77431459309388,95.83356637168143
55.2075199548846,89.38644247787612,83.45615347909074,93.99010619469027,95.89677685233384,95.8539203539823
55.95582812771126,89.43732743362833,84.48507721672739,94.02918584070797,97.01923911157382,95.84170796460178
56.82885432934236,89.29484955752213,85.60753947596737,94.02918584070797,98.1417013708138,95.8121946902655
56.9847518653479,89.22259292035399,86.73000173520735,94.0251150442478,99.26416363005379,95.84272566371682
57.73306003817456,89.34878761061947,87.85246399444733,94.04241592920354,100.38662588929377,95.83865486725665
58.294291167794555,89.42664159292036,88.97492625368731,94.00984955752213,101.50908814853375,95.83356637168143
59.13613786222453,89.51304424778762,90.0973885129273,93.97524778761063,102.63155040777373,95.81728318584071
60.165061599861176,89.55029203539823,91.21985077216728,94.00374336283187,103.7540126670137,95.8284778761062
61.28752385910116,89.51670796460178,92.34231303140724,94.02918584070797,104.87647492625369,95.81626548672567
62.129370553531146,89.45361061946903,93.27769824744057,93.99254867256637,105.99893718549366,95.79489380530974
62.69060168315113,89.35591150442478,94.21308346347388,93.92334513274336,107.12139944473365,95.8030353982301
63.53244837758112,89.32334513274337,95.33554572271386,93.89790265486727,108.24386170397362,95.82338938053098
64.46783359361443,89.28314601769912,96.45800798195384,93.89484955752214,109.36632396321359,95.82033628318585
65.40321880964775,89.2022389380531,97.58047024119382,93.91622123893806,110.48878622245358,95.79998230088496
66.24506550407773,89.19918584070797,98.7029325004338,93.88670796460178,111.61124848169355,95.79998230088496
67.08691219850772,89.28569026548674,99.54477919486378,93.9172389380531,112.73371074093355,95.80507079646019
67.92875889293771,89.29484955752213,100.38662588929377,93.9793185840708,113.85617300017351,95.79184070796461
68.24055396494882,89.21546902654867,101.50908814853375,93.97830088495576,114.97863525941351,95.79489380530974
68.48999002255769,89.12285840707965,102.63155040777373,93.9355575221239,116.10109751865348,95.80710619469028
68.67706706576436,89.02821238938054,103.7540126670137,93.93962831858407,117.22355977789344,95.79794690265487
69.26502348727102,88.95319342604299,104.87647492625369,93.92029203539823,118.34602203713344,95.81015929203541
70.45429897622766,89.0251592920354,105.99893718549366,93.87551327433629,119.4684842963734,95.80914159292035
71.29614567065764,89.016,107.12139944473365,93.91316814159293,120.5909465556134,95.80507079646019
71.95091532188096,88.95799115044248,108.24386170397362,93.91113274336284,121.71340881485337,95.79591150442478
72.51214645150095,89.0709557522124,109.36632396321359,93.92334513274336,122.83587107409336,95.77453982300885
73.03328964329096,89.13637926675095,110.48878622245358,93.91622123893806,123.95833333333333,95.79285840707965
73.63460871074093,89.01905309734514,111.61124848169355,93.87144247787612,125.0807955925733,95.801
74.10230131875758,88.91423008849559,112.73371074093355,93.86126548672567,126.20325785181329,95.80405309734513
74.94414801318757,88.85825663716815,113.85617300017351,93.87856637168142,127.32572011105326,95.81423008849558
75.69245618601423,88.93967256637168,114.97863525941351,93.8113982300885,128.44818237029324,95.77352212389381
76.44076435884088,88.99361061946902,116.10109751865348,93.89993805309736,129.5706446295332,95.78166371681417
